title,artist,mood,genre,url,thumbnail
Despacito,Luis Fonsi ft. Daddy Yankee,Happy,Latin Pop,https://www.youtube.com/watch?v=kJQP7kiw5Fk,https://img.youtube.com/vi/kJQP7kiw5Fk/hqdefault.jpg
Shape of You,Ed Sheeran,Romantic,Pop,https://www.youtube.com/watch?v=JGwWNGJdvx8,https://img.youtube.com/vi/JGwWNGJdvx8/hqdefault.jpg
See You Again,Wiz Khalifa ft. Charlie Puth,Sad,Hip-hop,https://www.youtube.com/watch?v=RgKAFK5djSk,https://img.youtube.com/vi/RgKAFK5djSk/hqdefault.jpg
Gangnam Style,PSY,Fun,K-pop,https://www.youtube.com/watch?v=9bZkp7q19f0,https://img.youtube.com/vi/9bZkp7q19f0/hqdefault.jpg
Uptown Funk,Mark Ronson ft. Bruno Mars,Party,Funk Pop,https://www.youtube.com/watch?v=OPf0YbXqDm0,https://img.youtube.com/vi/OPf0YbXqDm0/hqdefault.jpg
