date,daily_views,daily_profile_views,channel_daily_like,channel_daily_comments,channel_daily_shares,channel_total_followers,daily_follower,upload_contents,type,content_name,url,view_cnt,like_cnt,comment_cnt
2025. 7. 29.,88040,1144,3873,9,55,17184,37,수급,비기간,남사친 삼고 싶은 고3 보컬,https://www.tiktok.com/@gs_vocalclub/video/7530558396580285697,92500,4755,15
2025. 7. 30.,113672,1430,3948,33,75,17221,39,,비기간,,,,,
2025. 7. 31.,99426,1171,3953,11,48,17260,32,,비기간,,,,,
2025. 8. 1.,89900,1058,3305,14,38,17292,22,,비기간,,,,,
2025. 8. 2.,66941,761,2504,14,46,17314,9,,비기간,,,,,
2025. 8. 3.,60392,767,2393,10,33,17323,17,,비기간,,,,,
2025. 8. 4.,53500,738,2259,13,53,17340,15,오리지널,오리지널 캠페인 기간,이런게 여름이면 1년 내내도 하죠,https://www.tiktok.com/@gs_vocalclub/video/7534618595171503378,42000,3316,9
2025. 8. 5.,51655,650,2228,3,30,17355,31,,오리지널 캠페인 기간,,,,,
2025. 8. 6.,81601,1219,3273,17,48,17386,76,오리지널,오리지널 캠페인 기간,아 눈부셔....미래가 너무 밝아서,https://www.tiktok.com/@gs_vocalclub/video/7535008621013323028,273000,8428,66
2025. 8. 7.,98659,1379,3142,28,61,17462,52,,오리지널 캠페인 기간,,,,,
2025. 8. 8.,83205,1235,2853,12,58,17514,25,오리지널,오리지널 캠페인 기간,리즈시절 민경훈이 살아돌아옴,https://www.tiktok.com/@gs_vocalclub/video/7535011060596690197,48000,880,20
2025. 8. 9.,60458,849,2071,16,34,17539,4,,오리지널 캠페인 기간,,,,,
2025. 8. 10.,46137,763,1779,8,25,17543,3,,오리지널 캠페인 기간,,,,,
2025. 8. 11.,50741,774,1863,-11,36,17546,27,오리지널,오리지널 캠페인 기간,순수100청량포카리음색 감동되..,https://www.tiktok.com/@gs_vocalclub/video/7536081235483954433,39000,861,9
2025. 8. 12.,48000,700,1858,4,37,17573,16,,오리지널 캠페인 기간,,,,,
2025. 8. 13.,42594,557,1649,8,19,17589,0,오리지널,오리지널 캠페인 기간,고3 밴드 보컬이 주는 낭만이 있음,https://www.tiktok.com/@gs_vocalclub/video/7537232586691595536,27000,372,4
2025. 8. 14.,44007,926,1706,5,25,17589,12,,오리지널 캠페인 기간,,,,,
2025. 8. 15.,59116,1333,1912,8,25,17601,27,오리지널,오리지널 캠페인 기간,감성 풀충됐어...,https://www.tiktok.com/@gs_vocalclub/video/7537233011746540821,221000,6289,43
2025. 8. 16.,66816,1231,2367,17,38,17628,23,,오리지널 캠페인 기간,,,,,
2025. 8. 17.,61184,1086,2186,18,33,17651,121,,오리지널 캠페인 기간,,,,,
2025. 8. 18.,282145,4412,11513,193,209,17772,152,오리지널,오리지널 캠페인 기간,여름 방학 부장 선거 시작,https://www.tiktok.com/@gs_vocalclub/video/7539860000861080852,613000,26000,480
2025. 8. 19.,245587,3885,9284,121,152,17924,162,,오리지널 캠페인 기간,,,,,
2025. 8. 20.,260424,4293,10421,97,146,18086,122,,오리지널 캠페인 기간,,,,,
2025. 8. 21.,158752,2667,5842,41,86,18208,85,,오리지널 캠페인 기간,,,,,
2025. 8. 22.,143520,2563,6045,55,110,18293,69,오리지널,오리지널 캠페인 기간,여름 방학 부장 발표,https://www.tiktok.com/@gs_vocalclub/video/7541277623062744341,71000,1986,17
2025. 8. 23.,126516,2185,5236,39,83,18362,29,,비기간,,,,,
2025. 8. 24.,82142,1477,3415,27,49,18391,79,,비기간,,,,,
2025. 8. 25.,103177,2279,3688,30,51,18470,29,,비기간,,,,,
2025. 8. 26.,76883,1451,2738,26,28,18499,36,,비기간,,,,,
2025. 8. 27.,71668,1300,2580,104,31,18535,32,,비기간,,,,,
2025. 8. 28.,51344,741,1907,94,25,18567,20,,비기간,,,,,
2025. 8. 29.,51112,832,1915,13,16,18587,17,,비기간,,,,,
2025. 8. 30.,51197,852,1978,14,27,18604,10,,비기간,,,,,
2025. 8. 31.,49643,830,1901,14,18,18614,25,,비기간,,,,,
2025. 9. 1.,37548,564,1362,6,34,18639,11,,비기간,,,,,
2025. 9. 2.,38950,614,1493,-25,28,18650,19,,비기간,,,,,
2025. 9. 3.,34725,505,1397,13,24,18669,10,,비기간,,,,,
2025. 9. 4.,35990,529,1485,11,21,18679,8,,비기간,,,,,
2025. 9. 5.,40367,576,1564,8,16,18687,20,,비기간,,,,,
2025. 9. 6.,46653,805,1744,4,27,18707,13,수급,비기간,18살의 고백 같은 노래,https://www.tiktok.com/@gs_vocalclub/video/7546151030787018004,9679,169,4
2025. 9. 7.,35120,562,1318,7,27,18720,13,,비기간,,,,,
2025. 9. 8.,34363,559,1338,15,20,18733,13,,비기간,,,,,
2025. 9. 9.,34701,491,1371,19,25,18746,11,수급,비기간,예고생 감성 가득한 라이브,https://www.tiktok.com/@gs_vocalclub/video/7546152340156435720,19900,706,7
2025. 9. 10.,34841,466,1481,16,18,18757,21,,비기간,,,,,
2025. 9. 11.,37759,564,1616,15,19,18778,-1,,비기간,,,,,
2025. 9. 12.,40785,561,1676,-27,28,18777,13,,비기간,,,,,
2025. 9. 13.,43259,685,1738,11,47,18790,15,수급,비기간,데뷔가 시급한 남고생 음색,https://www.tiktok.com/@gs_vocalclub/video/7546152971474668817,8750,166,3
2025. 9. 14.,39186,551,1591,3,16,18805,15,,비기간,,,,,
2025. 9. 15.,35214,452,1432,0,17,18820,20,,비기간,,,,,
2025. 9. 16.,40263,518,1546,8,17,18840,28,수급,비기간,무반주로 뿌시는 중학생,https://www.tiktok.com/@gs_vocalclub/video/7550671209625701639,11200,433,5
2025. 9. 17.,41958,484,1609,8,23,18868,32,,비기간,,,,,
2025. 9. 18.,39463,577,1625,15,30,18900,30,수급,비기간,인디계가 탐낼 17살 음색,https://www.tiktok.com/@gs_vocalclub/video/7551392291210972417,10500,207,6
2025. 9. 19.,40822,501,1635,25,23,18930,47,,비기간,,,,,
2025. 9. 20.,82814,1371,3695,24,67,18977,39,수급,비기간,기세로 라이브하는 고2,https://www.tiktok.com/@gs_vocalclub/video/7552092300684348690,132300,7087,23
2025. 9. 21.,66255,1041,2774,29,48,19016,34,,비기간,,,,,
2025. 9. 22.,54520,773,2638,-1,41,19050,25,,비기간,,,,,
2025. 9. 23.,50733,727,2463,12,56,19075,41,수급,비기간,가을 낭만 담긴 고딩 음색,https://www.tiktok.com/@gs_vocalclub/video/7553189260375985426,15800,504,8
2025. 9. 24.,45487,685,1989,0,21,19116,74,,비기간,,,,,
2025. 9. 25.,122205,1569,6081,39,113,19190,61,수급,비기간,로꼬 파트 소화하는 여고생,https://www.tiktok.com/@gs_vocalclub/video/7553956492857068808,413100,19300,196
2025. 9. 26.,154020,1807,7396,76,139,19251,38,,비기간,,,,,
2025. 9. 27.,126411,1566,5643,55,67,19289,25,수급,비기간,어떻게 중2 음색이 제주 삼다수,https://www.tiktok.com/@gs_vocalclub/video/7554401100011490568,32400,1084,11
2025. 9. 28.,82296,1077,3794,34,49,19314,32,,비기간,,,,,
2025. 9. 29.,55637,730,2639,17,49,19346,14,,비기간,,,,,
2025. 9. 30.,52862,661,2382,18,57,19360,71,수급,비기간,가수가 꿈인 고2 라이브,https://www.tiktok.com/@gs_vocalclub/video/7554401829296065799,19600,947,6
2025. 10. 1.,59116,688,3035,11,97,19431,79,,비기간,,,,,
2025. 10. 2.,84372,1194,3126,27,49,19510,121,수급,비기간,축제에서 '예뻤어'는 반칙이지,https://www.tiktok.com/@gs_vocalclub/video/7556936390215208199,151800,1779,14
2025. 10. 3.,106460,1445,3564,2,50,19631,163,,비기간,,,,,
2025. 10. 4.,93102,1025,3912,28,52,19794,75,수급,비기간,15살이 부르는 감성 발라드,https://www.tiktok.com/@gs_vocalclub/video/7556935461822860562,33700,1312,5
2025. 10. 5.,62453,741,2493,14,44,19869,25,,비기간,,,,,
2025. 10. 6.,48546,662,2128,11,32,19894,24,,비기간,,,,,
2025. 10. 7.,44991,649,1748,-231,25,19918,16,수급,비기간,이별 노래 호소력 미친 고3,https://www.tiktok.com/@gs_vocalclub/video/7556935794179575048,8402,107,2
2025. 10. 8.,42331,657,1603,12,25,19934,4,,비기간,,,,,
2025. 10. 9.,45207,656,1820,-10,26,19938,20,수급,비기간,기타 치며 노래하는 여고생,https://www.tiktok.com/@gs_vocalclub/video/7556936068847783186,15400,438,7
2025. 10. 10.,44835,628,1698,10,31,19958,8,,비기간,,,,,
2025. 10. 11.,51768,719,2113,9,34,19966,20,수급,비기간,고1의 낭만적인 축제 무대,https://www.tiktok.com/@gs_vocalclub/video/7556936390215208199,39700,1501,4
2025. 10. 12.,50456,785,2021,10,51,19986,10,,비기간,,,,,
2025. 10. 13.,33464,466,1394,0,14,19996,16,,비기간,,,,,
2025. 10. 14.,37153,548,1514,12,23,20012,22,수급,비기간,화음 미친 한림예고 듀엣,https://www.tiktok.com/@gs_vocalclub/video/7560970952087997714,10300,303,3
2025. 10. 15.,32400,440,1473,9,31,20034,2,,비기간,,,,,
2025. 10. 16.,41865,592,1841,8,36,20036,33,수급,비기간,귀요미 중딩 밴드의 가을 송,https://www.tiktok.com/@gs_vocalclub/video/7560971217730145544,82100,3180,14
2025. 10. 17.,47164,647,2030,7,42,20069,9,,비기간,,,,,
2025. 10. 18.,67995,887,2710,19,80,20078,19,수급,비기간,이게 바로 k-고딩 때창의 맛,https://www.tiktok.com/@gs_vocalclub/video/7560911606138359058,18400,379,15
2025. 10. 19.,54948,719,2355,13,37,20097,4,,비기간,,,,,
2025. 10. 20.,31982,421,1210,4,20,20101,12,,비기간,,,,,
2025. 10. 21.,38484,520,1666,16,35,20113,5,수급,비기간,발성 미쳐버린 존잘 남고딩,https://www.tiktok.com/@gs_vocalclub/video/7563576878729039124,78300,5253,7
2025. 10. 22.,39012,494,1842,19,69,20118,26,,비기간,,,,,
2025. 10. 23.,56134,674,3062,10,76,20144,22,,비기간,,,,,
2025. 10. 24.,59353,675,3075,14,67,20166,34,,비기간,,,,,
2025. 10. 25.,83784,1077,3542,7,70,20200,7,수급,비기간,음색으로 무대 뿌시는 중딩,https://www.tiktok.com/@gs_vocalclub/video/7563583947418979604,88100,2929,2
2025. 10. 26.,53761,659,2175,7,31,20207,23,,비기간,,,,,
2025. 10. 27.,58584,694,2280,16,71,20230,22,,비기간,,,,,
2025. 10. 28.,48807,639,1872,12,28,20252,26,오리지널,오리지널 캠페인 기간,한림예고 남자 발라드 보컬 당신의 취향은?,https://www.tiktok.com/@gs_vocalclub/video/7566241626989808917,267200,6074,160
2025. 10. 29.,90371,1107,2759,42,74,20278,29,,오리지널 캠페인 기간,,,,,
2025. 10. 30.,70002,728,2406,28,52,20307,26,,오리지널 캠페인 기간,,,,,
2025. 10. 31.,102238,1291,3645,37,56,20333,37,오리지널,오리지널 캠페인 기간,한림예고 음색 스타일 당신의 취향은?,https://www.tiktok.com/@gs_vocalclub/video/7567296655280590100,140900,5755,35
2025. 11. 1.,101849,1381,3916,23,52,20370,14,,오리지널 캠페인 기간,,,,,
2025. 11. 2.,71365,1031,2774,33,53,20384,18,,오리지널 캠페인 기간,,,,,
2025. 11. 3.,66180,991,2346,23,41,20402,24,오리지널,오리지널 캠페인 기간,한림예고 여자 발라드 내 취향 보컬은?,https://www.tiktok.com/@gs_vocalclub/video/7568421483584720148,134600,4215,74
2025. 11. 4.,66565,959,2084,18,33,20426,28,,오리지널 캠페인 기간,,,,,
